Product Name,Price,Rating,Sold,URL
P9 Wireless Bluetooth Headphones With Mic Noise Cancelling Headsets Stereo Sound Earphones Sports Gaming Headphone Supports Noise Cancellation,"Rs. 1,014",4.645833333333333,706 sold,https:
"PRO RGB Gaming Headphones – Premium Stereo Surround Sound Headset with Noise-Canceling MIC, LED Light Effects, Ergonomic Over-Ear Design for Ultimate Comfort, Perfect for PC & Laptop Gaming","Rs. 1,576",4.576271186440678,327 sold,https:
P9 Wireless Bluetooth Headphones With Mic Noise Cancelling Headsets Stereo Sound Earphones Sports Gaming Headphone Supports Noise Cancellation,Rs. 919,,N/A,https:
P47 Wireless Bluetooth Headphones – Over Ear Foldable Headset with Mic.,Rs. 831,,N/A,https:
P47 Bluetooth Wireless Headphones  Original,Rs. 785,5.0,22 sold,https:
Airpods_Pro Wireless Earbuds Bluetooth 5.0 Compatible with IOS and Android Both,Rs. 399,,N/A,https:
STN-28 Cat Wireless Headphones Bluetooth Over-Ear Headset with Cute Cat Ears,"Rs. 1,459",5.0,13 sold,https:
Original p47 headphone Wireless Earbuds Invisible Ultra Small Bluetooth Handfree for all cell phones,Rs. 799,5.0,20 sold,https:
P47 Wireless Headset Bluetooth Foldable Headphone (Connect with All Smart Cell Phones / Laptops / Computer Systems).,Rs. 738,3.5714285714285716,32 sold,https:
STN-28 Cat Wireless Headphones Bluetooth Over-Ear Headset with Cute Cat Ears,"Rs. 1,449",5.0,15 sold,https:
Original P47 Headphone Good Quality Rechargeable Bluetooth Headphone,Rs. 676,5.0,16 sold,https:
"Ambie Wireless Ear Clips 5.3 Bluetooth Headphones, Comfortable Ear Cuffs, Premium Sound Quality",Rs. 719,5.0,18 sold,https:
"P9 Wireless Bluetooth Headphones with Mic – Noise Cancelling Stereo Headset, Sports & Gaming Earphones with HD Sound",Rs. 831,,21 sold,https:
"Wireless Headphones, P47 Bluetooth Foldable Headset with Microphone Support FM Radio TF for PC TV Smart Phones & Tablets Etc",Rs. 771,5.0,7 sold,https:
Orignal P47 Wireless Headset Bluetooth Foldable On-Ear Headphone Wireless Earbuds Invisible Ultra Small Bluetooth Handfree for all cell phones,Rs. 750,4.746052631578947,4.1K sold,https:
"P47 Wireless headphones with Microphone Bluetooth Foldable Headset Support FM Radio TF for PC ,TV Smart Phones & Tablets etc.",Rs. 535,5.0,11 sold,https:
P47 Wireless Headphones Bluetooth Stereo Head phones Foldable Headset with Mic Wireless Built-in Mic compaible for all Android Devices and PC,Rs. 390,5.0,12 sold,https:
"P47 Wireless Bluetooth Headphones – HiFi Stereo Sound, Built-in Mic, Wireless Over-Ear Headset for Music, Gaming & Calls",Rs. 749,4.742753623188406,2.5K sold,https:
P9 Wireless Bluetooth Headphones With | Mic Noise Cancelling Headsets Stereo Sound Earphones | Sports Gaming Headphones Supports,Rs. 319,5.0,N/A,https:
"Wireless Headphones, P47 Bluetooth Foldable Headset with Microphone Support FM Radio TF for PC TV Smart Phones & Tablets Etc",Rs. 708,,N/A,https:
"P47 Wireless Bluetooth Stereo Headphones  headphones with Microphone Bluetooth Foldable Headset Support FM Radio TF for PC ,TV Smart Phones & Tablets etc",Rs. 849,4.882352941176471,81 sold,https:
"Original P47 wireless headset is a Bluetooth foldable on-ear headphone with wireless earbuds that are invisible, incredibly small, and handfree for all cell phones.",Rs. 700,4.4,71 sold,https:
Original T75 Bone Conduction Wireless Bluetooth 5.3 Headphones Sports Earphones HiFi Sound Quality Waterproof TWS Headset,"Rs. 1,161",,12 sold,https:
P9 Wireless Bluetooth Headpise Chones With Mic Noancelling Headsets Stereo Sound Earphones Sports Gaming Headphones Supports,"Rs. 1,496",5.0,16 sold,https:
M10 AirBuds good sound and good quality type c charging wireless handfree 100% original product,Rs. 650,,N/A,https:
"P9 Wireless Bluetooth Headphones with Mic – Hi-Fi Sound, Noise Cancelling, Foldable Over-Ear – Best for Music, Gaming, Calls – Long Battery – Compatible with Android, iPhone – Best Wireless Headphones",Rs. 979,5.0,23 sold,https:
Magnetic Neckband Headphones Wireless Bluetooth 5.2 Earphones LED Display Headset Sport Noise Cancel Earbuds with Mic,Rs. 377,5.0,8 sold,https:
ASTRO A10 Gen 2 Wired Gaming Headphones – Imported Over-Ear Headset with Flip-to-Mute Microphone & Noise Isolation | Open Box | Blendzii Outleex®,"Rs. 3,427",4.4,47 sold,https:
Ear Phone 3.5mm Headset Ear Hook Super Bass Earphone Handfree Hnadsfree With Mic For Mp3 Player Computer Mobile Telephone Earphone Wireless Blhutooth with Mic For PUG,Rs. 276,4.0,55 sold,https:
"P9 Wireless Bluetooth Headphones with Mic – Hi-Fi Sound, Noise Cancelling, Foldable Over-Ear – Best for Music, Gaming, Calls – Long Battery – Compatible with Android, iPhone – Best Wireless Headphones",Rs. 999,5.0,108 sold,https:
"H130 Gaming Headphones - Over-Ear Stereo Sound Headset with 360° Adjustable Noise Reducing Microphone for PC, Laptop, Mobile, PS4, Xbox - 3.5mm Wired Plug - Red & Black - By FunBug","Rs. 1,597",4.75,87 sold,https:
"AirPods Max Wireless Bluetooth Headphones with Case & P9 Pro Max Without Case Premium Sound, Bass Boost, Leather Cover, iPhone AND Android Compatible, Bluetooth 5.0, Microphone, Memory Foam Earpads","Rs. 1,399",4.682819383259912,1.2K sold,https:
"P9 Wireless Bluetooth Headphones with Mic – Hi-Fi Sound, Noise Cancelling, Foldable Over-Ear – Best for Music, Gaming, Calls – Long Battery – Compatible with Android, iPhone – Best Wireless Headphones",Rs. 989,5.0,20 sold,https:
Original p47 headphone Wireless Earbuds Invisible Ultra Small Bluetooth Handfree for all cell phones,Rs. 784,4.373979591836735,38.8K sold,https:
